AS_ID	PREDICATE	OBJECT
auditioncertificate_bnf_suppl_turc_983_38r_n_3	object.manuscript_link	https://gallica.bnf.fr/ark:/12148/btv1b10083812h/f40.item.r=%22turc%20983%22.zoom
auditioncertificate_bnf_suppl_turc_983_41r_n_1	characteristics.copy	False
auditioncertificate_bnf_suppl_turc_983_41r_n_1	characteristics.type	sama
auditioncertificate_bnf_suppl_turc_983_41r_n_1	context.author_name	None
auditioncertificate_bnf_suppl_turc_983_41r_n_1	context.author_viaf	None
auditioncertificate_bnf_suppl_turc_983_41r_n_1	context.work_title	جزء فيه ذكر من حدث عن النبي هو وأبوه
auditioncertificate_bnf_suppl_turc_983_41r_n_1	edit.amended_by	None
auditioncertificate_bnf_suppl_turc_983_41r_n_1	edit.editor	Said Aljoumani
auditioncertificate_bnf_suppl_turc_983_41r_n_1	edit.status	wip
auditioncertificate_bnf_suppl_turc_983_41r_n_1	object.audition_certificate_number	N. 1
auditioncertificate_bnf_suppl_turc_983_41r_n_1	object.catalog	None
auditioncertificate_bnf_suppl_turc_983_41r_n_1	object.classmark	Suppl Turc 983
auditioncertificate_bnf_suppl_turc_983_41r_n_1	object.folio_number	41r
auditioncertificate_bnf_suppl_turc_983_41r_n_1	object.image_link	https://gallica.bnf.fr/ark:/12148/btv1b10083812h/f43.highres
auditioncertificate_bnf_suppl_turc_983_41r_n_1	object.library	BNF
auditioncertificate_bnf_suppl_turc_983_41r_n_1	object.manuscript_link	https://gallica.bnf.fr/ark:/12148/btv1b10083812h/f43.item.r=%22turc%20983%22.zoom
auditioncertificate_bnf_suppl_turc_984_93r	characteristics.copy	False
auditioncertificate_bnf_suppl_turc_984_93r	characteristics.type	qira
auditioncertificate_bnf_suppl_turc_984_93r	context.author_name	البخاري
auditioncertificate_bnf_suppl_turc_984_93r	context.author_viaf	http://viaf.org/viaf/154679127
auditioncertificate_bnf_suppl_turc_984_93r	context.work_title	منتخب حديث صحيح البخاري
auditioncertificate_bnf_suppl_turc_984_93r	edit.amended_by	None
auditioncertificate_bnf_suppl_turc_984_93r	edit.editor	Said Aljoumani
auditioncertificate_bnf_suppl_turc_984_93r	edit.status	wip
auditioncertificate_bnf_suppl_turc_984_93r	object.audition_certificate_number	
auditioncertificate_bnf_suppl_turc_984_93r	object.catalog	None
auditioncertificate_bnf_suppl_turc_984_93r	object.classmark	Suppl Turc 984
auditioncertificate_bnf_suppl_turc_984_93r	object.folio_number	93r
auditioncertificate_bnf_suppl_turc_984_93r	object.image_link	https://gallica.bnf.fr/ark:/12148/btv1b10082841z/f96.highres
auditioncertificate_bnf_suppl_turc_984_93r	object.library	BNF
auditioncertificate_bnf_suppl_turc_984_93r	object.manuscript_link	https://gallica.bnf.fr/ark:/12148/btv1b10082841z/f96.item.r=%22turc%20984%22.zoom
